,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume
106,106.0,106.0,106.0,2019-01-28,6691.839844,6697.529785,6644.310059,6697.089844,6697.089844,2448790000
107,107.0,107.0,107.0,2019-01-29,6695.709961,6701.470215,6613.419922,6632.790039,6632.790039,2106370000
108,108.0,108.0,108.0,2019-01-30,6708.560059,6826.919922,6688.330078,6807.910156,6807.910156,2569410000
109,109.0,109.0,109.0,2019-01-31,6840.930176,6936.339844,6837.919922,6906.839844,6906.839844,2947490000
110,110.0,110.0,110.0,2019-02-01,6872.72998,6921.950195,6857.310059,6875.52002,6875.52002,2398800000
111,111.0,111.0,111.0,2019-02-04,6876.560059,6960.970215,6872.600098,6959.959961,6959.959961,2106030000
112,112.0,112.0,112.0,2019-02-05,6969.370117,7029.77002,6967.939941,7023.52002,7023.52002,2284960000
113,113.0,113.0,113.0,2019-02-06,7023.890137,7034.939941,6969.830078,6997.620117,6997.620117,2179400000
114,114.0,114.0,114.0,2019-02-07,6934.330078,6954.77002,6854.350098,6904.97998,6904.97998,2310700000
115,115.0,115.0,115.0,2019-02-08,6843.330078,6914.560059,6836.700195,6913.129883,6913.129883,2102520000
116,116.0,116.0,116.0,2019-02-11,6941.259766,6958.330078,6893.799805,6909.180176,6909.180176,1908490000
117,117.0,117.0,117.0,2019-02-12,6960.549805,7021.759766,6948.330078,7014.669922,7014.669922,2140130000
118,118.0,118.0,118.0,2019-02-13,7038.319824,7062.580078,7009.72998,7015.879883,7015.879883,2103840000
119,119.0,119.0,119.0,2019-02-14,6986.509766,7047.879883,6969.689941,7022.419922,7022.419922,2117500000
120,120.0,120.0,120.0,2019-02-15,7066.379883,7073.990234,7022.299805,7055.180176,7055.180176,2263640000
121,121.0,121.0,121.0,2019-02-19,7033.370117,7089.100098,7032.779785,7066.609863,7066.609863,2124140000
122,122.0,122.0,122.0,2019-02-20,7070.240234,7096.149902,7027.370117,7062.339844,7062.339844,2202670000
123,123.0,123.0,123.0,2019-02-21,7047.080078,7063.069824,7001.799805,7035.160156,7035.160156,2144680000
124,124.0,124.0,124.0,2019-02-22,7055.200195,7094.290039,7050.009766,7090.629883,7090.629883,2428560000
125,125.0,125.0,125.0,2019-02-25,7144.339844,7161.72998,7111.779785,7115.430176,7115.430176,2399410000
126,126.0,126.0,126.0,2019-02-26,7098.970215,7144.649902,7087.140137,7123.220215,7123.220215,2305760000
127,127.0,127.0,127.0,2019-02-27,7095.75,7125.779785,7045.410156,7117.0,7117.0,2430790000
128,128.0,128.0,128.0,2019-02-28,7093.200195,7125.919922,7081.919922,7097.529785,7097.529785,2676790000
129,129.0,129.0,129.0,2019-03-01,7152.080078,7159.959961,7101.069824,7151.569824,7151.569824,2490920000
130,130.0,130.0,130.0,2019-03-04,7193.879883,7205.939941,7073.399902,7150.830078,7150.830078,2582090000
131,131.0,131.0,131.0,2019-03-05,7156.660156,7178.299805,7120.689941,7156.790039,7156.790039,2166670000
132,132.0,132.0,132.0,2019-03-06,7156.240234,7162.240234,7104.549805,7112.470215,7112.470215,2256550000
133,133.0,133.0,133.0,2019-03-07,7089.629883,7097.910156,7001.810059,7026.879883,7026.879883,2462690000
134,134.0,134.0,134.0,2019-03-08,6940.899902,7018.919922,6940.720215,7015.689941,7015.689941,2260950000
135,135.0,135.0,135.0,2019-03-11,7050.049805,7166.930176,7049.560059,7164.02002,7164.02002,2248460000
136,136.0,136.0,136.0,2019-03-12,7176.22998,7219.410156,7166.950195,7201.279785,7201.279785,2171620000
137,137.0,137.0,137.0,2019-03-13,7231.049805,7292.859863,7229.879883,7256.97998,7256.97998,2379260000
138,138.0,138.0,138.0,2019-03-14,7257.310059,7267.939941,7240.959961,7243.009766,7243.009766,2198900000
139,139.0,139.0,139.0,2019-03-15,7274.140137,7331.299805,7265.629883,7306.990234,7306.990234,3451860000
140,140.0,140.0,140.0,2019-03-18,7311.629883,7348.689941,7293.850098,7326.279785,7326.279785,2302140000
141,141.0,141.0,141.0,2019-03-19,7357.580078,7390.290039,7321.930176,7349.279785,7349.279785,2457920000
142,142.0,142.0,142.0,2019-03-20,7348.990234,7422.75,7318.419922,7380.75,7380.75,2464230000
143,143.0,143.0,143.0,2019-03-21,7356.939941,7505.410156,7356.939941,7493.27002,7493.27002,2502810000
144,144.0,144.0,144.0,2019-03-22,7458.439941,7482.350098,7323.52002,7326.060059,7326.060059,2504740000
145,145.0,145.0,145.0,2019-03-25,7299.930176,7342.509766,7265.279785,7316.959961,7316.959961,2162490000
146,146.0,146.0,146.0,2019-03-26,7378.22998,7417.259766,7314.379883,7351.149902,7351.149902,2080350000
147,147.0,147.0,147.0,2019-03-27,7364.470215,7376.990234,7252.060059,7308.189941,7308.189941,2244070000
148,148.0,148.0,148.0,2019-03-28,7325.060059,7346.040039,7277.689941,7320.470215,7320.470215,1922150000
149,149.0,149.0,149.0,2019-03-29,7377.77002,7381.689941,7333.169922,7378.77002,7378.77002,2311790000
150,150.0,150.0,150.0,2019-04-01,7450.810059,7481.839844,7422.439941,7478.419922,7478.419922,2230050000
151,151.0,151.0,151.0,2019-04-02,7473.509766,7507.049805,7461.509766,7499.640137,7499.640137,2123250000
152,152.0,152.0,152.0,2019-04-03,7538.169922,7589.689941,7520.399902,7544.970215,7544.970215,2509630000
153,153.0,153.0,153.0,2019-04-04,7542.160156,7571.129883,7496.299805,7540.569824,7540.569824,2152640000
154,154.0,154.0,154.0,2019-04-05,7564.27002,7581.899902,7554.910156,7578.839844,7578.839844,2157050000
155,155.0,155.0,155.0,2019-04-08,7565.060059,7602.080078,7536.419922,7599.740234,7599.740234,2075550000
156,156.0,156.0,156.0,2019-04-09,7571.879883,7596.75,7555.620117,7568.490234,7568.490234,2078800000
157,157.0,157.0,157.0,2019-04-10,7581.390137,7613.410156,7573.279785,7611.490234,7611.490234,2012290000
158,158.0,158.0,158.0,2019-04-11,7621.399902,7621.399902,7580.709961,7594.890137,7594.890137,1969480000
159,159.0,159.0,159.0,2019-04-12,7624.149902,7630.52002,7596.560059,7628.149902,7628.149902,1968900000
160,160.0,160.0,160.0,2019-04-15,7630.600098,7636.799805,7578.540039,7629.120117,7629.120117,1827710000
161,161.0,161.0,161.0,2019-04-16,7651.189941,7670.399902,7631.640137,7654.72998,7654.72998,2102740000
