Date,Close/Last,Volume,Open,High,Low
05/15/2020,9152.64,--,8976.29,9157.46,8958.08
05/14/2020,9094.43,--,8946.45,9097.75,8860.77
05/13/2020,9000.08,--,9123.69,9209.49,8890.16
05/12/2020,9112.45,--,9326.06,9354.45,9109.09
05/11/2020,9298.92,--,9155.21,9346.27,9155.21
05/08/2020,9220.35,--,9165.70,9224.49,9126.97
05/07/2020,9101.88,--,9104.67,9136.18,9045.23
05/06/2020,8984.86,--,8997.02,9065.58,8950.89
05/05/2020,8930.62,--,8922.39,9031.00,8900.57
05/04/2020,8834.11,--,8683.94,8840.33,8665.40
05/01/2020,8718.18,--,8791.88,8887.58,8688.58
04/30/2020,9000.51,--,9005.24,9023.03,8920.42
04/29/2020,8982.76,--,8871.04,9025.82,8832.00
04/28/2020,8677.60,--,8913.28,8918.38,8668.67
04/27/2020,8837.66,--,8865.58,8887.62,8803.88
04/24/2020,8786.60,--,8666.57,8791.36,8599.99
04/23/2020,8641.50,--,8693.73,8796.49,8624.63
04/22/2020,8664.63,--,8575.57,8708.48,8550.61
04/21/2020,8403.00,--,8639.74,8663.09,8359.84
04/20/2020,8726.51,--,8742.54,8855.18,8725.32
04/17/2020,8832.41,--,8876.66,8879.24,8704.38
04/16/2020,8757.83,--,8689.09,8793.35,8605.51
04/15/2020,8591.96,--,8548.47,8666.24,8500.56
04/14/2020,8692.16,--,8489.27,8708.55,8470.74
04/13/2020,8332.74,--,8209.68,8338.15,8158.58
04/09/2020,8238.53,--,8284.31,8334.23,8167.93
04/08/2020,8229.54,--,8134.30,8254.41,8058.41
04/07/2020,8049.31,--,8287.48,8305.59,8043.07
04/06/2020,8081.66,--,7819.06,8110.66,7763.09
04/03/2020,7528.11,--,7631.57,7673.49,7439.78
04/02/2020,7635.66,--,7445.88,7641.86,7432.28
04/01/2020,7486.29,--,7582.78,7701.68,7423.97
03/31/2020,7813.50,--,7855.74,8011.60,7765.45
03/30/2020,7889.01,--,7678.83,7902.09,7651.43
03/27/2020,7588.37,--,7657.44,7817.74,7580.22
03/26/2020,7897.13,--,7549.83,7913.11,7549.83
03/25/2020,7469.62,--,7543.96,7777.61,7390.41
03/24/2020,7553.82,--,7348.99,7555.91,7304.39
03/23/2020,7006.92,--,6952.71,7145.29,6771.91
03/20/2020,6994.29,--,7391.22,7487.83,6969.77
03/19/2020,7288.52,--,7190.21,7514.13,7037.47
03/18/2020,7175.18,--,7023.86,7336.88,6837.53
03/17/2020,7473.95,--,7198.53,7550.13,6959.15
03/16/2020,7020.38,--,7502.26,7563.45,6993.61
03/13/2020,7995.26,--,7683.04,7998.51,7301.88
03/12/2020,7263.65,--,7452.76,7808.31,7255.61
03/11/2020,8006.12,--,8166.26,8224.73,7900.99
03/10/2020,8372.27,--,8213.97,8376.44,7942.13
03/09/2020,7948.03,--,7912.14,8241.77,7912.14
03/06/2020,8530.34,--,8395.95,8571.88,8319.90
03/05/2020,8671.66,--,8713.19,8864.19,8613.91
03/04/2020,8949.28,--,8745.64,8952.11,8669.76
03/03/2020,8594.49,--,8892.68,9000.46,8516.58
03/02/2020,8877.98,--,8569.91,8879.39,8446.50
02/28/2020,8461.83,--,8133.85,8490.47,8133.85
02/27/2020,8436.67,--,8632.54,8786.68,8430.53
02/26/2020,8873.76,--,8883.01,9032.87,8813.92
02/25/2020,8834.87,--,9167.33,9183.78,8807.11
02/24/2020,9079.63,--,9055.30,9194.91,9028.87
02/21/2020,9446.69,--,9582.54,9594.00,9406.38
02/20/2020,9627.83,--,9696.66,9714.23,9513.23
02/19/2020,9718.73,--,9683.94,9736.57,9676.07
02/18/2020,9629.80,--,9567.27,9647.72,9567.27
02/14/2020,9623.58,--,9613.88,9634.75,9583.08
02/13/2020,9595.70,--,9540.67,9636.41,9532.74
02/12/2020,9613.20,--,9569.82,9615.90,9552.03
02/11/2020,9517.86,--,9567.81,9600.05,9493.63
02/10/2020,9516.84,--,9373.20,9517.74,9373.20
02/07/2020,9401.10,--,9397.77,9453.24,9376.91
02/06/2020,9445.92,--,9395.69,9448.72,9357.86
02/05/2020,9367.48,--,9441.34,9442.75,9311.88
02/04/2020,9334.06,--,9256.94,9352.96,9224.86
02/03/2020,9126.23,--,9033.52,9148.50,9031.07
01/31/2020,8991.51,--,9142.53,9170.22,8961.59
01/30/2020,9136.09,--,9038.92,9140.69,9019.72
01/29/2020,9101.61,--,9141.52,9153.08,9067.29
01/28/2020,9090.93,--,9013.23,9111.32,8994.28
01/27/2020,8952.18,--,8913.16,9001.44,8910.97
01/24/2020,9141.47,--,9266.35,9272.37,9101.44
01/23/2020,9216.98,--,9186.14,9221.13,9145.23
01/22/2020,9188.57,--,9212.35,9242.48,9179.27
01/21/2020,9166.63,--,9145.64,9187.42,9141.78
01/17/2020,9173.73,--,9159.48,9176.47,9118.98
01/16/2020,9125.00,--,9088.08,9126.07,9066.31
01/15/2020,9035.67,--,9039.31,9078.87,9008.95
01/14/2020,9033.42,--,9068.02,9080.16,9020.92
01/13/2020,9070.65,--,9007.94,9071.53,8991.35
01/10/2020,8966.64,--,9021.88,9024.87,8951.83
01/09/2020,8989.63,--,8990.04,9004.55,8938.53
01/08/2020,8912.37,--,8845.45,8953.55,8834.94
01/07/2020,8846.45,--,8857.14,8872.47,8821.68
01/06/2020,8848.52,--,8713.89,8849.98,8713.89
01/03/2020,8793.90,--,8755.17,8843.65,8755.17
01/02/2020,8872.22,--,8802.22,8873.63,8786.90
12/31/2019,8733.07,--,8681.33,8735.43,8674.38
12/30/2019,8709.73,--,8766.39,8768.29,8671.92
12/27/2019,8770.98,--,8805.86,8811.10,8749.86
12/26/2019,8778.31,--,8717.95,8778.33,8716.03
12/24/2019,8699.51,--,8705.30,8708.22,8684.12
12/23/2019,8696.01,--,8703.06,8710.90,8690.14
12/20/2019,8678.49,--,8666.57,8687.66,8656.48
12/19/2019,8641.29,--,8592.68,8642.74,8592.68
12/18/2019,8580.62,--,8587.20,8608.10,8578.56
12/17/2019,8575.70,--,8586.33,8592.45,8564.15
12/16/2019,8570.33,--,8544.26,8584.78,8542.42
12/13/2019,8487.71,--,8461.42,8517.52,8441.88
12/12/2019,8466.89,--,8391.91,8493.11,8380.09
12/11/2019,8402.61,--,8371.65,8408.08,8361.37
12/10/2019,8354.29,--,8364.55,8392.89,8339.37
12/09/2019,8362.74,--,8388.75,8425.77,8359.87
12/06/2019,8397.37,--,8370.23,8405.85,8365.25
12/05/2019,8308.40,--,8321.19,8321.19,8272.83
