Date,DayOfWeek,Open,High,Low,Close,Adj Close,Volume,OC Difference,HL Difference,OC %Change,HL %Change,Close_Status,Close_Difference,Same Bracket,Avg_OC_Spread_10_Day,Avg_Volume_10_Day,Volatility_10_Day,Price_Change_Magnitude,Price_Direction,MA_Volume_Ratio,Close_Bracket,Close_Lag_5,Close_Lag_4,Close_Lag_3,Close_Lag_2,Close_Lag_1,ShortEMA,LongEMA,MACD,SignalLine,MACD_Histogram
2023-09-20,3,15225.339844,15245.19043,14967.599609,14969.919922,14969.919922,4782440000,255.41992200000095,277.5908209999998,-0.016775975092645095,-0.0182084193880417,1,275.67968799999835,0,19.366992199999913,4676117000.0,175.21621074991123,275.67968799999835,1,1.0227374550294615,14900,15348.530273,15473.889648,15202.400391,15225.370117,15191.230469,14771.167654819299,14832.778156373615,-61.610501554316215,-78.26561359617762,16.6551120418614
2023-09-19,2,15152.530273,15219.919922,15069.410156,15191.230469,15191.230469,4453460000,-38.70019599999978,150.50976599999922,0.002554041820260139,-0.009888998547386656,1,221.31054700000095,1,62.56103519999997,4653032000.0,165.17057439126177,221.31054700000095,1,0.9571092569318242,15100,15289.740234,15348.530273,15473.889648,15202.400391,15225.370117,14835.792703154792,14859.330179531125,-23.53747637633387,-67.31998615220887,43.782509775875
2023-09-18,1,15161.169922,15268.959961,15155.459961,15225.370117,15225.370117,4855880000,-64.20019500000126,113.5,0.004234514574422251,-0.007433381205393286,1,34.13964800000031,0,38.77998040000002,4683150000.0,147.88901120566064,34.13964800000031,1,1.0368832943638364,15200,15461.870117,15289.740234,15348.530273,15473.889648,15202.400391,14895.727689900208,14886.444248973263,9.283440926945332,-51.99930073637803,61.282741663323364
2023-09-15,5,15425.950195,15435.450195,15173.709961,15202.400391,15202.400391,8162210000,223.54980400000022,261.74023399999896,-0.014491801229363442,-0.016957084548449672,0,-22.969726000001174,0,48.71601569999984,4985521000.0,138.9283443379191,22.969726000001174,0,1.6371829543993497,15200,15280.230469,15461.870117,15289.740234,15348.530273,15473.889648,14942.908105454022,14909.84840764191,33.05969781211206,-34.987501026680015,68.04719883879207
2023-09-14,4,15433.009766,15512.820313,15337.179688,15473.889648,15473.889648,4649010000,-40.87988200000109,175.640625,0.0026488599838809363,-0.011322288368982799,1,271.4892570000011,1,77.11201170000004,4985583000.0,153.3081647278499,271.4892570000011,1,0.9324907438107037,15400,15258.519531,15280.230469,15461.870117,15289.740234,15348.530273,15024.597573538018,14951.629240261027,72.96833327699096,-13.396334165945818,86.36466744293678
2023-09-13,3,15293.269531,15414.610352,15256.599609,15348.530273,15348.530273,4840310000,-55.26074200000039,158.0107429999989,0.0036134027382427876,-0.010250712758334335,0,-125.359375,0,76.83701170000003,4985473000.0,153.70817018220094,125.359375,0,0.9708828028955326,15300,15371.44043,15258.519531,15280.230469,15461.870117,15289.740234,15074.433373455246,14981.02931676021,93.40405669503525,7.963744006250394,85.44031268878486
2023-09-12,2,15390.589844,15447.849609,15278.879883,15289.740234,15289.740234,4595490000,100.8496099999993,168.96972600000117,-0.006552679983172664,-0.010938074248312108,0,-58.790038999999524,0,74.39101559999999,4975668000.0,155.85340701613896,58.790038999999524,0,0.9235925708869643,15200,15508.240234,15371.44043,15258.519531,15280.230469,15461.870117,15107.557505846748,15003.896792111307,103.66071373544037,27.103137952088392,76.55757578335198
2023-09-11,1,15409.769531,15482.839844,15328.349609,15461.870117,15461.870117,4538870000,-52.100586000000476,154.4902349999993,0.0033810100725509985,-0.009978158823354894,1,172.1298829999996,1,69.29697260000012,5019526000.0,151.2174373731282,172.1298829999996,1,0.9042427512079826,15400,15490.860352,15508.240234,15371.44043,15258.519531,15280.230469,15162.067138331862,15037.820742103064,124.2463962287984,46.5317896074304,77.714606621368
2023-09-08,5,15265.570313,15374.219727,15244.05957,15280.230469,15280.230469,4160360000,-14.660155999999915,130.16015700000025,0.0009603411925930785,-0.008466130919894082,0,-181.6396480000003,1,57.91308599999993,5005292000.0,166.2253773885972,181.6396480000003,0,0.8311922661055539,15200,15501.070313,15490.860352,15508.240234,15371.44043,15258.519531,15180.246112280805,15055.777018169505,124.46909411130036,62.119250508204395,62.34984360309597
2023-09-07,4,15174.219727,15288.200195,15138.730469,15258.519531,15258.519531,4320830000,-84.29980400000022,149.46972599999935,0.005555462192893038,-0.009776803292311896,0,-21.71093800000017,0,56.427929699999915,4935886000.0,166.9332339567848,21.71093800000017,0,0.8753909632434784,15200,15462.429688,15501.070313,15490.860352,15508.240234,15371.44043,15192.288176699143,15070.794982082876,121.49319461626692,73.9940393298169,47.49915528645002
2023-09-06,3,15467.320313,15487.0,15289.480469,15371.44043,15371.44043,4215320000,95.87988299999961,197.51953099999992,-0.006198868392181309,-0.012753892361335308,1,112.92089900000065,0,40.15205080000014,4879174000.0,150.28543993808404,112.92089900000065,1,0.8639413146569481,15300,15376.549805,15462.429688,15501.070313,15490.860352,15508.240234,15219.850061822352,15093.065015261922,126.78504656042969,84.55224077593947,42.232805784490225
2023-09-05,2,15460.519531,15556.849609,15419.959961,15508.240234,15508.240234,4379790000,-47.72070300000087,136.8896480000003,0.0030866170379537207,-0.008799316792315486,1,136.79980400000022,0,31.70097650000007,4871807000.0,141.05932636911336,136.79980400000022,1,0.8990072882608034,15500,15052.459961,15376.549805,15462.429688,15501.070313,15490.860352,15264.217780618912,15123.818735168446,140.39904545046556,95.72160171084468,44.677443739620884
2023-09-01,5,15600.950195,15618.849609,15429.360352,15490.860352,15490.860352,4033960000,110.08984299999975,189.4892570000011,-0.0070566114002006625,-0.012132087941407176,0,-17.37988200000109,0,26.54902349999993,4789615000.0,141.8986960071016,17.37988200000109,0,0.8422305341869858,15400,14941.830078,15052.459961,15376.549805,15462.429688,15501.070313,15299.085868523694,15151.007003081893,148.0788654418011,106.19305445703597,41.88581098476513
2023-08-31,4,15475.429688,15575.009766,15466.410156,15501.070313,15501.070313,4568610000,-25.640625,108.5996099999993,0.0016568602951220362,-0.006972683268364335,1,10.209961000000476,0,29.866992200000094,4430255000.0,140.99721376484152,10.209961000000476,1,1.0312295793357267,15500,14816.44043,14941.830078,15052.459961,15376.549805,15462.429688,15330.160398443128,15176.937618631384,153.22277981174375,115.59899952797753,37.62378028376622
2023-08-30,3,15386.669922,15484.830078,15341.94043,15462.429688,15462.429688,4364600000,-75.75976600000104,142.8896480000003,0.004923727251188968,-0.009227718178387382,0,-38.640625,0,-1.1459960000000138,4401814000.0,113.34110218541502,38.640625,0,0.9915457581806046,15400,15148.05957,14816.44043,14941.830078,15052.459961,15376.549805,15350.509519913416,15198.085179325357,152.42434058805884,122.9640677399938,29.460272848065046
2023-08-29,2,15043.019531,15391.55957,15034.540039,15376.549805,15376.549805,4748180000,-333.53027400000065,357.0195309999999,0.022171763675017237,-0.023195799579392457,0,-85.87988299999961,0,2.8019532000000256,4392601000.0,109.14356196013655,85.87988299999961,0,1.0809495330898482,15300,14908.959961,15148.05957,14816.44043,14941.830078,15052.459961,15354.515717619044,15211.304781227183,143.21093639186074,127.01344147036718,16.197494921493558
2023-08-28,1,15035.480469,15086.230469,14948.919922,15052.459961,15052.459961,3666680000,-16.97949200000039,137.31054700000095,0.001129294939061544,-0.009101713465279089,0,-324.0898440000001,1,-23.72802730000003,4299720000.0,150.2727627335975,324.0898440000001,0,0.8527718083968259,15000,14908.959961,14908.959961,15148.05957,14816.44043,14941.830078,15308.045601216116,15199.538498247392,108.50710296872421,123.3121737700386,-14.805070801314386
2023-08-25,5,14858.929688,15001.290039,14715.360352,14941.830078,14941.830078,3970060000,-82.9003900000007,285.92968699999983,0.005579162950542168,-0.01906033989454551,0,-110.62988299999961,0,-52.00400389999995,4242839000.0,135.16797448873103,110.62988299999961,0,0.9357083782816176,14900,14936.69043,14908.959961,14908.959961,15148.05957,14816.44043,15251.70475149056,15180.448985636474,71.25576585408635,112.90089218684815,-41.645126332761805
2023-08-24,4,15278.929688,15279.240234,14814.830078,14816.44043,14816.44043,4383820000,462.4892579999996,464.4101559999999,-0.030269741889265744,-0.030394846136823944,0,-125.3896480000003,0,-46.37900389999995,4265185000.0,130.25491171597423,125.3896480000003,0,1.0278147372271074,14800,14936.69043,14936.69043,14908.959961,14908.959961,15148.05957,15184.741009722782,15153.485388922662,31.255620800120596,96.57183790950265,-65.31621710938205
2023-08-23,3,14947.580078,15188.860352,14947.580078,15148.05957,15148.05957,4127850000,-200.47949199999857,241.28027399999883,0.013412170461964362,-0.01588534415409436,1,331.6191399999989,0,-11.045996100000048,4245887000.0,177.1650038021289,331.6191399999989,1,0.9721996840707254,15100,14694.839844,14936.69043,14936.69043,14908.959961,14908.959961,15179.097711303893,15153.083476409873,26.014234894020774,82.46031730640628,-56.44608241238551
2023-08-22,2,15035.070313,15037.790039,14883.980469,14908.959961,14908.959961,4282430000,126.1103519999997,153.80956999999944,-0.00838774607465314,-0.010228203053846311,0,-239.09960899999896,0,-46.248046900000006,4252598000.0,184.6124356653465,239.09960899999896,0,1.0070150058858138,14900,14694.839844,14694.839844,14936.69043,14936.69043,14908.959961,15137.538057410988,15135.000253046179,2.537804364808835,66.4758147180868,-63.93801035327796
