Date,DayOfWeek,Open,High,Low,Close,Adj Close,Volume,OC Difference,HL Difference,OC %Change,HL %Change,Close_Status,Close_Difference,Same Bracket,Avg_OC_Spread_10_Day,Avg_Volume_10_Day,Volatility_10_Day,Price_Change_Magnitude,Price_Direction,MA_Volume_Ratio,Close_Bracket,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_4,Close_Lag_5,ShortEMA,LongEMA,MACD,SignalLine,MACD_Histogram,RSI
2023-08-29,2,15043.019531,15391.55957,15034.540039,15376.549805,15376.549805,4748180000,-333.53027400000065,357.0195309999999,0.022171763675017237,-0.023195799579392457,0,-85.87988299999961,0,2.8019532000000256,4392601000.0,109.14356196013655,85.87988299999961,0,1.0809495330898482,15300,15462.429688,15501.070313,15490.860352,15508.240234,15371.44043,15354.460737586905,15205.326426663672,149.134310923233,135.61006178005292,13.524249143180072,57.18258833145602
2023-08-28,1,15035.480469,15086.230469,14948.919922,15052.459961,15052.459961,3666680000,-16.97949200000039,137.31054700000095,0.001129294939061544,-0.009101713465279089,0,-324.0898440000001,1,-23.72802730000003,4299720000.0,150.2727627335975,324.0898440000001,0,0.8527718083968259,15000,15376.549805,15462.429688,15501.070313,15490.860352,15508.240234,15307.999079650457,15194.00298476266,113.99609488779788,131.28726840160192,-17.29117351380404,44.528193434632485
2023-08-25,5,14858.929688,15001.290039,14715.360352,14941.830078,14941.830078,3970060000,-82.9003900000007,285.92968699999983,0.005579162950542168,-0.01906033989454551,0,-110.62988299999961,0,-52.00400389999995,4242839000.0,135.16797448873103,110.62988299999961,0,0.9357083782816176,14900,15052.459961,15376.549805,15462.429688,15501.070313,15490.860352,15251.665387088848,15175.323510187647,76.34187690120052,120.29819010152164,-43.95631320032112,42.187593308520256
2023-08-24,4,15278.929688,15279.240234,14814.830078,14816.44043,14816.44043,4383820000,462.4892579999996,464.4101559999999,-0.030269741889265744,-0.030394846136823944,0,-125.3896480000003,0,-46.37900389999995,4265185000.0,130.25491171597423,125.3896480000003,0,1.0278147372271074,14800,14941.830078,15052.459961,15376.549805,15462.429688,15501.070313,15184.707701382871,15148.739578321896,35.968123060974904,103.4321766934123,-67.4640536324374,28.395700388770507
2023-08-23,3,14947.580078,15188.860352,14947.580078,15148.05957,15148.05957,4127850000,-200.47949199999857,241.28027399999883,0.013412170461964362,-0.01588534415409436,1,331.6191399999989,0,-11.045996100000048,4245887000.0,177.1650038021289,331.6191399999989,1,0.9721996840707254,15100,14816.44043,14941.830078,15052.459961,15376.549805,15462.429688,15179.069527323969,15148.68920733509,30.38031998887891,88.82180535250562,-58.44148536362671,44.19877262039349
2023-08-22,2,15035.070313,15037.790039,14883.980469,14908.959961,14908.959961,4282430000,126.1103519999997,153.80956999999944,-0.00838774607465314,-0.010228203053846311,0,-239.09960899999896,0,-46.248046900000006,4252598000.0,184.6124356653465,239.09960899999896,0,1.0070150058858138,14900,15148.05957,14816.44043,14941.830078,15052.459961,15376.549805,15137.514209427974,15130.931485384343,6.58272404363197,72.37398909073089,-65.79126504709892,40.02221159235731
2023-08-21,1,14762.009766,14958.870117,14739.370117,14936.69043,14936.69043,4363070000,-174.68066400000134,219.5,0.01183312209983274,-0.014673568142726858,1,27.730469000000085,0,-57.15498040000002,4250926000.0,175.59816998937248,27.730469000000085,1,1.026381075558596,14900,14908.959961,15148.05957,14816.44043,14941.830078,15052.459961,15106.618243362132,15116.543259059576,-9.925015697443087,55.9141881330961,-65.83920383053919,35.11176200514784
2023-08-18,5,14589.709961,14744.570313,14557.830078,14694.839844,14694.839844,4801910000,-105.12988299999961,186.7402349999993,0.00720575551405916,-0.012665017090077835,0,-241.85058600000048,0,-79.60205079999996,4327721000.0,184.09060399474333,241.85058600000048,0,1.109570140958717,14600,14936.69043,14908.959961,15148.05957,14816.44043,14941.830078,15043.267720383343,15085.305969055162,-42.03824867181902,36.32370077211307,-78.36194944393209,33.95267827594712
2023-08-17,4,14943.339844,14949.580078,14698.290039,14715.80957,14715.80957,5280180000,227.53027400000065,251.29003900000134,-0.015226199522682865,-0.016809170404043863,1,20.969725999999355,0,-78.52607430000008,4398878000.0,184.70428674662182,20.969725999999355,1,1.2003469975752907,14700,14694.839844,14936.69043,14908.959961,15148.05957,14816.44043,14992.889543401288,15057.935865421445,-65.04632202015637,16.049696213659185,-81.09601823381556,35.11663568090458
2023-08-16,3,15021.629883,15077.049805,14874.019531,14876.469727,14876.469727,6243760000,145.16015599999992,203.03027400000065,-0.009663409172680914,-0.01346618049458653,1,160.66015700000025,0,-58.59599610000005,4586794000.0,199.63527463024997,160.66015700000025,1,1.361247093285637,14800,14715.80957,14694.839844,14936.69043,14908.959961,15148.05957,14974.978802416475,15044.493929242079,-69.51512682560315,-1.0632683941932815,-68.45185843140986,36.772203689374614
